instructor,instructor_social_link,instructor_label,number_courses,courses_names,courses_ref
Adrián Estrada,@edsadr,Support Engineer  en NodeSource,1,Curso de Electron: Apps de escritorio en Windows y Mac,https://platzi.com/cursos/electron/
Adriana Moya,NA,Google Cloud Developer,1,Curso de Google App Engine por Xertica,https://platzi.com/cursos/app-engine/
Aerolab,@aerolab,Diseño y desarrollo de productos digitales  en  LatAm y Silicon Valley,2,Curso de Diseño de Interfaces y UX -- Cómo ser un Product Designer por Aerolab,https://platzi.com/cursos/diseno-interfaces-ux/ -- https://platzi.com/cursos/product-designer/
Alberto Alcocer,@beco,en Independiente,3,Introducción a Terminal y Línea de Comandos -- Curso de Expresiones Regulares -- Curso de SQL y MySQL,https://platzi.com/cursos/terminal/ -- https://platzi.com/cursos/expresiones-regulares/ -- https://platzi.com/cursos/sql-mysql/
Alberto Pérez-Bermejo,@pixeliko,Fullstack Architect  en BBVA,1,Curso de Creación de Videojuegos,https://platzi.com/cursos/creacion-videojuegos/
Alberto Samaniego,@alb_sama,Consultor en UX  en The Product Lab,1,Curso de Design Sprint,https://platzi.com/cursos/design-sprint/
Alejandro “el cachorro” Álvarez,@alejoalvarezj,"Músico, comunicador social y productor musical  en Independiente",1,Curso Básico de Producción de Audio con Pro Tools,https://platzi.com/cursos/edicion-protools/
Alejandro Rebolledo,NA,Operations Manager  en Datagran,1,Curso de Optimización de Campañas Digitales con Datagran,https://platzi.com/cursos/optimizacion-campanas/
Alejandro Vizio,@alevizio,Creative Director  en aerolab,1,Cómo ser un Product Designer por Aerolab,https://platzi.com/cursos/product-designer/
Amin Espinoza,@aminespinoza,Technical Evangelist  en Microsoft,2,Curso de Azure IaaS -- Curso de Azure PaaS,https://platzi.com/cursos/azure/ -- https://platzi.com/cursos/azure-paas/
Ana Gisbert Martin de Hijas,@AnaGisbertMdH,Consultora  en Independiente,1,Curso de Liderazgo para Equipos de Trabajo,https://platzi.com/cursos/liderazgo-equipos/
Anahí Salgado Díaz de la Vega,@anncode,"Android, Firebase, Java, Geek & Teacher  en Platzi",7,Escuela de Maestros Platzi -- Curso Profesional de Firebase para Android -- Curso Básico de Java SE -- Curso Avanzado de Java SE -- Curso Profesional de Java EE -- Curso de Bases Técnicas de Android -- Curso Definitivo de Android,https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/firebase/ -- https://platzi.com/cursos/java-basico/ -- https://platzi.com/cursos/java-avanzado/ -- https://platzi.com/cursos/jee/ -- https://platzi.com/cursos/tecnico-android/ -- https://platzi.com/cursos/android/
Anderson Arévalo,NA,CO-Founder  en Newrona,1,Curso de Introducción a la Realidad Aumentada,https://platzi.com/cursos/realidad-aumentada/
Andrés Londoño,@andresg,Outbound & Analytics   en Platzi,1,Curso Profesional de Google Ads,https://platzi.com/cursos/google-adwords/
Antonio Guzmán,NA,en Xertica,1,Fundamentos de Google Cloud Platform por Xertica,https://platzi.com/cursos/fundamentos-google/
Antonio Serón Molina,@Chino_chao,Copywriter  en Freelance,1,Curso de Creación de Videojuegos,https://platzi.com/cursos/creacion-videojuegos/
Arantxa Claudio,@Arantxa_Claudio,Senior 3D Artist  en arantxaclaudio.com,1,Curso de animación y arte de videojuegos,https://platzi.com/cursos/animacion-videojuegos/
Bakir Khawam,@atskaheart,Profesor  en ESNE,1,Curso de animación y arte de videojuegos,https://platzi.com/cursos/animacion-videojuegos/
Billy Blaustein,@billyenvivo,Former Growth Manager  en Uber,1,Fundamentos de Outbound Marketing y SEM,https://platzi.com/cursos/sem/
Carlos A. Lozano,@BugCON,Information Security Consultant   en Non disclosed,2,Curso de Análisis de Vulnerabilidades Web con OWASP -- Curso de Auditorías de Seguridad Informática a Aplicaciones Web,https://platzi.com/cursos/seguridad/ -- https://platzi.com/cursos/auditorias-web/
Carlos Cerrato,@ccerrato147,Especialista en Watson  en Cognitiva,1,Curso de Inteligencia Artificial con IBM Watson,https://platzi.com/cursos/ibm-watson/
Carlos González Tardón,@carlosgtardon,CEO  en People & VIDEOGAMES,1,Curso de Creación de Videojuegos,https://platzi.com/cursos/creacion-videojuegos/
Carlos Jiménez,@unavacaverde,Motion expert and Designer  en Platzi,5,Fundamentos de Diseño -- Curso de Illustrator -- Curso Básico de Photoshop -- Curso de Sketch -- Curso de Adobe XD,https://platzi.com/cursos/fundamentos-diseno/ -- https://platzi.com/cursos/illustrator/ -- https://platzi.com/cursos/photoshop-basico/ -- https://platzi.com/cursos/sketch/ -- https://platzi.com/cursos/adobe-xd/
Christian Andrade,@andorade,Evangelista para Latam  en Epic Games,2,Curso de Desarrollo de Videojuegos con Unreal Engine -- Curso de Creación de Videojuegos de Realidad Virtual,https://platzi.com/cursos/unreal/ -- https://platzi.com/cursos/unreal-engine-vr/
Christian Van Der Henst,@cvander,COO  en Platzi,3,Curso de Bitcoin y Blockchain -- Introducción a la Creación de Empresas y Startups -- Taller de creación de Startups,https://platzi.com/cursos/bitcoin/ -- https://platzi.com/cursos/creacion-de-empresas/ -- https://platzi.com/cursos/taller-startups/
Clau Alderete,@laclaux,Content Marketing  en Content,2,Curso de Introducción al Marketing Digital -- Curso de Content Marketing,https://platzi.com/cursos/introduccion-marketing/ -- https://platzi.com/cursos/contenido/
Claudia Cavero,@ClauCaveroP,Especialista en Watson  en IBM,1,Curso de Inteligencia Artificial con IBM Watson,https://platzi.com/cursos/ibm-watson/
Claudio Pinkus,@Claudio_Pinkus,COO  en CodeStream,1,Curso de CodeStream,https://platzi.com/cursos/comunicacion-codestream/
Coko Deluque,@dachcode,Founder  en Muusa.co,1,Introducción a la Seguridad Informática,https://platzi.com/cursos/seguridad-informatica/
Conrad Egusa,@conradegusa,Founder & CEO  en Publicize,1,Curso de Relaciones Públicas y Prensa,https://platzi.com/cursos/relaciones-publicas/
Dan Zajdband,@impronunciable,Knight-Mozilla Fellow  en The Coral Project,1,Curso de Realidad Virtual para Web,https://platzi.com/cursos/web-vr/
Daniel Granatta,@danigranatta,Consultor  en Independiente,1,Cómo prepararte profesionalmente para el futuro,https://platzi.com/cursos/futuro-profesional/
Daniel Martínez,@Wakkos,Senior Frontend Architect  en Madaísh,3,Curso de Sass -- Curso de Stylus -- Curso de Less,https://platzi.com/cursos/sass/ -- https://platzi.com/cursos/stylus/ -- https://platzi.com/cursos/less/
Daniel Nuñez,@MassterFX,Diseño y VFX  en Massterfx,1,Curso Profesional de After Effects,https://platzi.com/cursos/after-effects/
Daniel Patiño,@ThisIsDanPatino,Co-Founder  en Digifianz Inbound,1,Curso de Ventas y Fidelización de Clientes,https://platzi.com/cursos/ventas/
Daniela Belén González,@myrockandmyroll,Co-Founder  en DigitalTie,1,Curso de Email Marketing,https://platzi.com/cursos/email-marketing/
Daniela Coyotzi,@Poiad_,Desarrolladora de Videojuegos  en HyperBeard,1,Curso de Programación de Videojuegos 2D con Unity,https://platzi.com/cursos/unity-2d/
David Aroesti,@jdaroesti,CTO  en Novelistik,1,Curso de Python,https://platzi.com/cursos/python/
Di-Ann Eisnor,@dianneisnor,Head of Growth  en Waze,1,Curso de Marketing Móvil,https://platzi.com/cursos/movil/
Diana Reyes,@tifis,Inbound Manager  en Platzi,1,Curso de Community Manager,https://platzi.com/cursos/community-manager/
Edinson Fernández,NA,Especialista en Desarrollo de Software  en Independiente,1,Curso de SCRUM,https://platzi.com/cursos/scrum/
Eduardo Ibarra,@iBar_Ed,CEO  en http://multitut.com/,5,Curso de Angular 4 -- Curso de PWA con Angular -- Curso Básico de Ionic -- Curso de Ionic Avanzado -- Curso de Angular Avanzado,https://platzi.com/cursos/angular/ -- https://platzi.com/cursos/pwa-angular/ -- https://platzi.com/cursos/ionic/ -- https://platzi.com/cursos/ionic-avanzado/ -- https://platzi.com/cursos/angular-avanzado/
Emiro Arrieta,@EmiroArrietag,Diseñador e Ilustrador  en Platzi,2,Fundamentos de Diseño -- Curso de Ilustración Digital con Vectores,https://platzi.com/cursos/fundamentos-diseno/ -- https://platzi.com/cursos/ilustracion-illustrator/
Erika Chacón,@herickbeth,Especialista de IBM Cloud  en IBM,1,Fundamentos de IBM Cloud,https://platzi.com/cursos/ibm-cloud/
Ernesto Martínez,@ErnestoTuitero,Planning & Operations Manager  en Hewlett Packard Enterprise,2,Fundamentos de la Gestión de Proyectos -- Curso de Certificación PMP,https://platzi.com/cursos/pmi/ -- https://platzi.com/cursos/certificacion-pmp/
Estefanía Zmaragdis,@haveyoumetepi,Especialista en Watson IBM  en IBM,1,Curso de Inteligencia Artificial con IBM Watson,https://platzi.com/cursos/ibm-watson/
Ethan Parry,@ethanparry3,CEO y Founder  en UXcore,1,Curso de Diseño de Servicios,https://platzi.com/cursos/servicios/
Felipe Guzmán,NA,Especialista de Estrategia y Mercados  en KPMG,1,Curso de Excel para el Análisis de Datos,https://platzi.com/cursos/excel/
Fernando Anzures,@fanzures,Fundador y CEO  en Liquid Thinking,1,Introducción al marketing con influencers,https://platzi.com/cursos/influencer/
Fernando Perales,@ferperalesm,Software Engineer  en Magmalabs,1,Curso de Ruby on Rails,https://platzi.com/cursos/ruby-on-rails/
Fran Varela,@franvarela,Directora  en Kodea,1,Curso de Programación para Padres y Niños,https://platzi.com/cursos/programacion-ninos/
Freddy Vega,@freddier,CEO  en Platzi,7,Curso Gratis de Programación Básica -- Fundamentos de Ingeniería de Software -- Curso de Hablar en Público -- Curso de Marca Personal -- Curso de Marketing Móvil -- Introducción a la Creación de Empresas y Startups -- Taller de creación de Startups,https://platzi.com/cursos/programacion-basica/ -- https://platzi.com/cursos/ingenieria/ -- https://platzi.com/cursos/hablar-en-publico/ -- https://platzi.com/cursos/marca-personal/ -- https://platzi.com/cursos/movil/ -- https://platzi.com/cursos/creacion-de-empresas/ -- https://platzi.com/cursos/taller-startups/
Guido Contreras Woda,@guiwoda,Software Engineer   en Medallia,3,Fundamentos de Arquitectura de Software -- Curso Profesional de Arquitectura de Software -- Curso de PHP con Laravel,https://platzi.com/cursos/arquitectura-software/ -- https://platzi.com/cursos/pro-arquitectura/ -- https://platzi.com/cursos/curso-php-laravel/
Guillermo Gonzalez,@guillegonzaleza,CEO  en litebox,1,Curso de SEO: Posicionamiento en buscadores,https://platzi.com/cursos/posicionamiento-buscadores/
Gustavo Angulo,@woakas,CTO  en Ubidots,1,Curso de Administración de Servidores Linux,https://platzi.com/cursos/linux/
Héctor Benitez,@HectorBenitez,Software Developer  en Nearsoft,1,Curso de Introducción a PHP,https://platzi.com/cursos/php/
Herman Marín,@hermanmarin,Co-fundador y Chief Design Officer  en Laboratoria,1,Curso de Transformación Digital para Empresas,https://platzi.com/cursos/transforma-digital/
Hernán Bruna,@hbrunav,Animador  en Independiente,1,Curso de animación y arte de videojuegos,https://platzi.com/cursos/animacion-videojuegos/
Hugues Joubert,@Hugues,Productor   en Platzi,1,Curso de Edición Avanzada con Adobe Creative Cloud,https://platzi.com/cursos/edicion-avanzada/
Ignacio Anaya,@ianaya89,Fullstack Developer  en E-xact,1,Curso Profesional de VueJS,https://platzi.com/cursos/vuejs-profesional/
Isabel Royán,NA,Master en Composicion para Audiovisuales y Videojuegos  en Seattle Film Institute,1,Curso de Creación de Videojuegos,https://platzi.com/cursos/creacion-videojuegos/
Ismael Briasco,@briascoi,Director  en BigSmartLabs,1,Especialización en Marketing Digital,https://platzi.com/cursos/especializacion-marketing/
Ivan Castro,@ivancastro,Imaging Ambassador  en Sony,2,Curso de Fotografía y Lightroom -- Curso Profesional de Photoshop para Fotografía,https://platzi.com/cursos/lightroom/ -- https://platzi.com/cursos/photoshop-profesional/
Javier Trujillo,@javierblockpro,Director  en Blockchain Academy,1,Curso de Inversión en Criptomonedas,https://platzi.com/cursos/inversion-criptomonedas/
Javir Urro,NA,Technical Artist  en Unity,1,Curso de Programación de Videojuegos 3D con Unity,https://platzi.com/cursos/unity-3d/
Jon Llaguno,@jonllaguno,Director General  en la Federación Española de Videojuegos y eSports,1,Curso de marketing y negocios para Videojuegos,https://platzi.com/cursos/marketing-videojuegos/
Jorge Ferretiz,@JorgeFerretiz_,Artista Visual  en Freelance,2,Introducción a la Creación de Personajes -- Curso de Diseño y Prototipado de Personajes,https://platzi.com/cursos/creacion-personajes/ -- https://platzi.com/cursos/prototipado-personajes/
Jorge Zavala,@jzavala,CEO  en Kinnevo,1,Cómo conseguir trabajo en Programación,https://platzi.com/cursos/developer/
Juan Camilo González,@tranquifinanzas,CO Founder  en Tranqui,2,Curso de Finanzas Personales -- Curso de Finanzas para Startups,https://platzi.com/cursos/finanzas/ -- https://platzi.com/cursos/financiera-startups/
Juan Carlos Ruiz,@JuanKRuiz,Program Manager Evangelist  en Microsoft Colombia,2,Curso Básico de C# -- Curso Profesional de C# y ASP.Net,https://platzi.com/cursos/c-sharp/ -- https://platzi.com/cursos/net/
Juan Manuel Moreno,@_Twinsen_,Cofundador  en Nivel Oculto,1,Curso de marketing y negocios para Videojuegos,https://platzi.com/cursos/marketing-videojuegos/
Juan Pablo Caro,@cuerdasgordas,Senior Managing Consultant  en Berkeley Research Group,1,Curso de Pentesting,https://platzi.com/cursos/pentesting/
Juan Pablo Morales,@JuanpaMF,Gerente de ingeniería  en Arara,1,Curso de Machine Learning Aplicado con Python,https://platzi.com/cursos/scikit/
Juan Pablo Rojas,@unmalnick,Head of Growth  en Platzi,4,Introducción a la Creación de Empresas y Startups -- Curso Profesional de Google Analytics -- Curso de Google Analytics para Desarrolladores -- Curso de Facebook Analytics,https://platzi.com/cursos/creacion-de-empresas/ -- https://platzi.com/cursos/google-analytics/ -- https://platzi.com/cursos/gajs/ -- https://platzi.com/cursos/fb-analytics/
Juani Ruiz Echazú,@heyimjuani,UX Director  en Aerolab,3,Curso de Diseño de Interfaces y UX -- Curso de Diseño de Interfaces Móviles -- Cómo ser un Product Designer por Aerolab,https://platzi.com/cursos/diseno-interfaces-ux/ -- https://platzi.com/cursos/interfaces-moviles/ -- https://platzi.com/cursos/product-designer/
Julián Duque,@julian_duque,Lead Support Engineer  en NodeSource,1,Curso Avanzado de Node.js,https://platzi.com/cursos/nodejs/
Justin Wu,@hackapreneur,"Founder, Growth Engineer  en Growth.ly",1,Curso de Creación y Optimización del Funnel de Ventas,https://platzi.com/cursos/funnel/
Kattya Cuevas,@KattyaCuevas,Backend Developer  en Platzi,1,Curso de Ruby,https://platzi.com/cursos/ruby/
Kevin Loyola,NA,Cloud Specialist Associate  en Xertica,1,Curso de Google App Engine por Xertica,https://platzi.com/cursos/app-engine/
Laura Rojas Aponte,@@amarillopopis,Diseñadora de proyectos digitales  en Cosas de Internet y otras organizaciones,1,Curso de Creación de Podcasts,https://platzi.com/cursos/creacion-podcasts/
Leo Prieto,@leoprieto,CEO  en Betazeta,1,Curso de Construcción de Marca,https://platzi.com/cursos/branding/
Leonel Hernández,@geekhousemx,CEO  en GeekHouse,1,Curso de Introducción a los Negocios Online,https://platzi.com/cursos/negocios-online/
Leonidas Esteban,@leonidasesteban,Frontend Developer  en Platzi,1,Curso de jQuery a JavaScript,https://platzi.com/cursos/jquery-js/
Leonidas Esteban,@LeonidasEsteban,Frontend  en Platzi,12,Curso profesional de Git y GitHub -- Curso de CSS Grid Layout -- Curso de Animaciones para la Web -- Curso de PostCSS -- Curso de Desarrollo Web Online -- Curso de Responsive Design -- Curso de Webpack -- Curso de React.js -- Curso de Redux -- Curso de React Native -- Curso de React Navigation -- Curso de React Router,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/css-grid-layout/ -- https://platzi.com/cursos/animaciones-web/ -- https://platzi.com/cursos/postcss/ -- https://platzi.com/cursos/html5-css3/ -- https://platzi.com/cursos/responsive-design/ -- https://platzi.com/cursos/webpack/ -- https://platzi.com/cursos/react/ -- https://platzi.com/cursos/redux/ -- https://platzi.com/cursos/react-native/ -- https://platzi.com/cursos/react-navigation/ -- https://platzi.com/cursos/react-router/
Lucas Forero,@Lukyfc,Ingeniero de I+D+i  en EcoImpacto SAS,1,Curso de Diseño de Circuitos Electrónicos,https://platzi.com/cursos/circuitos-electronicos/
Ludwin Cuevas,@winiberto,Production Lead  en Platzi,1,Curso de Introducción al Lenguaje Audiovisual,https://platzi.com/cursos/lenguaje-audiovisual/
Luis Díaz Peralta,@Ludipe,Game Designer & Founder  en AlPixel Games,1,Curso de Creación de Videojuegos,https://platzi.com/cursos/creacion-videojuegos/
Luis Oliván,@Fictiorama,Producer and PR manager  en Fictiorama Studios,1,Curso de marketing y negocios para Videojuegos,https://platzi.com/cursos/marketing-videojuegos/
Marce Valenzuela,@MarceMaticas,Profesora  en Matemáticas,2,Curso de Probabilidad y Estadística -- Curso de Cálculo para Análisis de Datos,https://platzi.com/cursos/probabilidad-estadistica/ -- https://platzi.com/cursos/calculo-datos/
Marcos Algorta,@malgorta,Consultor Independiente,1,Curso para Líderes en formación,https://platzi.com/cursos/liderazgo-basico/
Marcos Lilljedahl,@marcosnils,OS Evangelist  en mantika,1,Fundamentos de Docker,https://platzi.com/cursos/docker/
María Isabel Murillo,@MariaIsabelMC,Directora general  en Usaria,1,Curso de Arquitectura de la Información con Usaria,https://platzi.com/cursos/arquitectura-informacion/
Mario Chávez,@mario_chavez,Software Engineer y Co-founder  en michelada.io,1,Curso de PostgreSQL,https://platzi.com/cursos/postgresql/
Mario Valle,@bilbeny,Co-Founder & Managing Partner  en Altered Ventures LLC,1,Curso de Emprendimiento en Videojuegos con Realidad Virtual y Aumentada,https://platzi.com/cursos/negocios-videojuegos/
Martin Gontovnikas,@mgonto,VP of Marketing & Analytics  en Auth0,1,Curso de Growth Marketing,https://platzi.com/cursos/growth-marketing/
Martín M. Barbudo,@MartinBarbudo,Video games & Animation Teacher  en ESNE,1,Curso de animación y arte de videojuegos,https://platzi.com/cursos/animacion-videojuegos/
Matías Villanueva,@@matiasvillag,Director  en Agencia Los Navegantes,2,Curso de Instagram Ads y Optimización de Campañas -- Curso de Facebook Ads,https://platzi.com/cursos/instagram/ -- https://platzi.com/cursos/facebook-ads/
Mauro Parra Miranda,@mauropm,DevOps Engineer  en Limelight Health,1,Curso de Fundamentos de AWS Cloud,https://platzi.com/cursos/aws-cloud/
Michael Posso,@micposso,Web Developer  en Oracle,2,Curso de AMP -- Curso de Maquetación para Email Marketing,https://platzi.com/cursos/amp-google/ -- https://platzi.com/cursos/diseno-email/
Miguel Ángel Luna Nájera,@_angeloLuna,CTO  en Jelp Mi,1,Curso de Firebase para Web,https://platzi.com/cursos/firebase-web/
Mike McNeil,@mikermcneil,Founder  en Sails.js,1,Curso de JavaScript Full Stack con Sails.js,https://platzi.com/cursos/javascript-pro/
Misael León,@misaello,Product Designer  en Nearsoft,2,Curso de User Research -- Introducción al Diseño de Prototipos,https://platzi.com/cursos/user-research/ -- https://platzi.com/cursos/prototipado/
Natalia Fainberg,NA,Co-fundadora  en Welcome Onboard,1,Curso de Business Model Canvas,https://platzi.com/cursos/canvas/
Nicole Chapaval,@Maldeadora,Head of Education  en Platzi,2,Curso de Atención al Cliente y Soporte a Usuarios -- Introducción a la Creación de Empresas y Startups,https://platzi.com/cursos/atencion-cliente/ -- https://platzi.com/cursos/creacion-de-empresas/
Omar Florez,@OmarUFlorez,Investigador  en Intel,2,Curso de Redes Neuronales y Backpropagation -- Curso de Introducción a Machine Learning,https://platzi.com/cursos/redes-neuronales/ -- https://platzi.com/cursos/ia/
Oscar Barajas,@gndx,Frontend Developer  en Platzi,2,Curso de Bots con Facebook Messenger -- Curso de JavaScript Testing con Jest,https://platzi.com/cursos/bots-fb/ -- https://platzi.com/cursos/js-jest/
Pablo Chiappetti,@p4bloch,Developer  en SCVsoft,1,Curso de GraphQL,https://platzi.com/cursos/graphql/
Pablo Trinidad,@pablotrinidadpa,Web Developer  en PunkPost,1,Curso de Django,https://platzi.com/cursos/django/
Pablo Valès,@pvkrutoy,Producer  en Platzi,1,Curso de Introducción a la Edición con Premiere,https://platzi.com/cursos/premiere/
Paula Becerra,@polibesa,Education Analyst  en Platzi,5,Escuela de Maestros Platzi -- Curso de Escritura Online -- Curso de Escritura en Inglés -- Curso de Inglés Técnico para Profesionales -- Curso Básico de Inglés,https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/escritura/ -- https://platzi.com/cursos/escritura-ingles/ -- https://platzi.com/cursos/ingles/ -- https://platzi.com/cursos/ingles-basico/
Pedro Díaz,@peadiazmo,Client technical specialist for Power Systems  en IBM,2,Fundamentos de Bases de Datos -- Curso de Seguridad Informática para Empresas,https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/seguridad-empresas/
Peter Pezaris,@pezster,CEO  en CodeStream,1,Curso de CodeStream,https://platzi.com/cursos/comunicacion-codestream/
Rafa Poveda,@bi0xid,CTO  en MyTinySecrets Limited,1,Curso de Temas y Plugins en WordPress,https://platzi.com/cursos/wordpress/
Raquel Mosquera,NA,CEO  en ArchGroup,1,Curso de Internacionalización para Startups,https://platzi.com/cursos/internacionalizacion-startups/
Raúl Goycoolea,NA,en Xertica,1,Fundamentos de Google Cloud Platform por Xertica,https://platzi.com/cursos/fundamentos-google/
Rémy Bastien,@flash_stopper,Consultor  en Gamification,1,Curso de Gamificación,https://platzi.com/cursos/gamification/
Ricardo Celis,@celismx,Teaching for students  en Platzi,4,Curso de Algoritmos con C -- Escuela de Maestros Platzi -- Fundamentos de Desarrollo de Hardware con Arduino -- Curso de Robótica con Arduino,https://platzi.com/cursos/algoritmos/ -- https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/fundamentos-arduino/ -- https://platzi.com/cursos/robotica-arduino/
Ricardo Izquierdo,NA,Game Designer  en Independiente,2,Curso de Diseño de Videojuegos -- Curso de Testing de Videojuegos,https://platzi.com/cursos/diseno-videojuegos/ -- https://platzi.com/cursos/testing-videojuegos/
Roberto González,@robertcode,CTO y fundador  en Aerolab,1,Curso de Progressive Web Apps con React.js,https://platzi.com/cursos/pwa-react-js/
Roberto González,NA,CTO  en Aerolab,1,Curso de Next.js,https://platzi.com/cursos/next-js/
Rodrigo Díaz Concha,@rdiazconcha,Regional Director y MVP  en Microsoft,1,Curso de Xamarin.Forms,https://platzi.com/cursos/xamarin-forms/
Ronald Hernández,@QuePariocom,YouTuber y Realizador  en QueParió!,1,Curso de Producción para Youtube,https://platzi.com/cursos/youtube/
Ruben Gomez,@soyrubengomez,Director  en GO multimedios,1,Curso de Diseño Visual de Marcas,https://platzi.com/cursos/marca-visual/
Sacha Lifszyc,@sachalifs,JavaScript FullstackDeveloper  en Restorando,5,Curso de Bootstrap -- Curso de Foundation -- Curso básico de Vue.js -- Curso de MEAN -- Fundamentos de JavaScript,https://platzi.com/cursos/bootstrap/ -- https://platzi.com/cursos/foundation/ -- https://platzi.com/cursos/vuejs/ -- https://platzi.com/cursos/mean/ -- https://platzi.com/cursos/fundamentos-javascript/
Sam Altman,@sama,President  en Y Combinator,1,Taller de creación de Startups,https://platzi.com/cursos/taller-startups/
Santiago Zavala,@dfect,Partner  en 500 Startups,1,Taller de creación de Startups,https://platzi.com/cursos/taller-startups/
Sebastian Tellez,@gorrotowi,Android developer  en Independiente,1,Curso de Kotlin,https://platzi.com/cursos/kotlin/
Sergio Nouvel,@shesho,All things UX  en continuumhq,1,Curso de Desarrollo de Productos con Metodología Lean,https://platzi.com/cursos/lean-ux/
Sergio Orduz,NA,Ingeniero Eléctrico,4,Curso de Matemáticas Discretas -- Curso de Ecuaciones Diferenciales -- Curso de Álgebra Lineal -- Curso de Cálculo Multivariable,https://platzi.com/cursos/discretas/ -- https://platzi.com/cursos/ecuaciones/ -- https://platzi.com/cursos/algebra-lineal/ -- https://platzi.com/cursos/calculo-multivariable/
Sergio Xalambrí,@sergiodxa,Frontend Developer  en Platzi,1,Curso de Deploy con Now.sh,https://platzi.com/cursos/deploy-now/
Sergio Zafra,@serzafra,Country Manager  en Platzi,1,Introducción a la Creación de Empresas y Startups,https://platzi.com/cursos/creacion-de-empresas/
Stephanie Speranza,NA,Consultora  en Minds Garage,1,Curso de Design Thinking con Minds Garage,https://platzi.com/cursos/design-thinking/
Vaka Lazzari,@vakalaza,Director  en Mindset,1,Curso de Storytelling,https://platzi.com/cursos/storytelling/
Victor Aliaga,NA,Backend Developer  en Platzi,2,Curso de Swift -- Curso de Desarrollo de Aplicaciones para iOS,https://platzi.com/cursos/swift/ -- https://platzi.com/cursos/apps-ios/
William Wolf,@willwolf_,Mathematician & Data Scientist   en ShopKeep.,2,Curso de Big Data y Ciencia de Datos -- Curso Profesional de Data Science,https://platzi.com/cursos/data/ -- https://platzi.com/cursos/datascience/
Wolfram,NA,CO-Founder  en Newrona,1,Curso de Introducción a la Realidad Aumentada,https://platzi.com/cursos/realidad-aumentada/
Yamil Asusta,@elbuo8,Production Engineer  en auth0,1,Curso Profesional de DevOps,https://platzi.com/cursos/devops/
Yesica Cortés,@Yesikitaliz,Course Manager   en Platzi,2,Escuela de Maestros Platzi -- Curso de Redes de Internet,https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/redes/
Yohan Graterol,@yograterol,DevOps  en Platzi,4,Curso de Bitcoin y Blockchain -- Curso de Programación en Go -- Curso de MongoDB y Redis -- Curso de DigitalOcean,https://platzi.com/cursos/bitcoin/ -- https://platzi.com/cursos/go-basico/ -- https://platzi.com/cursos/mongodb-redis/ -- https://platzi.com/cursos/digital-ocean/
