specialization_name,number_courses,courses_names,courses_refs,avg_rating
Advanced Data Science with IBM,4,Fundamentals of Scalable Data Science -- Advanced Machine Learning and Signal Processing -- Applied AI with DeepLearning -- Advanced Data Science Capstone,https://www.coursera.org/learn/ds -- https://www.coursera.org/learn/advanced-machine-learning-signal-processing -- https://www.coursera.org/learn/ai -- https://www.coursera.org/learn/advanced-data-science-capstone,4.7
Agile Development,5,Agile Meets Design Thinking -- Running Product Design Sprints -- Managing an Agile Team -- Testing with Agile -- Agile Development in Practice (Project-centered Course),https://www.coursera.org/learn/uva-darden-getting-started-agile -- https://www.coursera.org/learn/uva-darden-running-design-sprints -- https://www.coursera.org/learn/uva-darden-agile-team-management -- https://www.coursera.org/learn/uva-darden-agile-testing -- https://www.coursera.org/learn/uva-darden-agile-development-capstone,4.62
Android App Development,5,"Java for Android -- Android App Components - Intents, Activities, and Broadcast Receivers -- Android App Components - Services, Local IPC, and Content Providers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/java-for-android -- https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/androidapps-2 -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone,4.28
Applied Data Science,4,Python for Data Science -- Data Visualization with Python -- Data Analysis with Python -- Applied Data Science Capstone,https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/data-analysis-with-python -- https://www.coursera.org/learn/applied-data-science-capstone,4.53
Applied Data Science with Python,5,"Introduction to Data Science in Python -- Applied Plotting, Charting & Data Representation in Python -- Applied Machine Learning in Python -- Applied Text Mining in Python -- Applied Social Network Analysis in Python",https://www.coursera.org/learn/python-data-analysis -- https://www.coursera.org/learn/python-plotting -- https://www.coursera.org/learn/python-machine-learning -- https://www.coursera.org/learn/python-text-mining -- https://www.coursera.org/learn/python-social-network-analysis,4.44
Architecting with Google Cloud Platform,6,Google Cloud Platform Fundamentals: Core Infrastructure -- Essential Cloud Infrastructure: Foundation -- Essential Cloud Infrastructure: Core Services -- Elastic Cloud Infrastructure: Scaling and Automation -- Elastic Cloud Infrastructure: Containers and Services -- Reliable Cloud Infrastructure: Design and Process,https://www.coursera.org/learn/gcp-fundamentals -- https://www.coursera.org/learn/gcp-infrastructure-foundation -- https://www.coursera.org/learn/gcp-infrastructure-core-services -- https://www.coursera.org/learn/gcp-infrastructure-scaling-automation -- https://www.coursera.org/learn/gcp-infrastructure-containers-services -- https://www.coursera.org/learn/cloud-infrastructure-design-process,4.62
Big Data,6,Introduction to Big Data -- Big Data Modeling and Management Systems -- Big Data Integration and Processing -- Machine Learning With Big Data -- Graph Analytics for Big Data -- Big Data - Capstone Project,https://www.coursera.org/learn/big-data-introduction -- https://www.coursera.org/learn/big-data-management -- https://www.coursera.org/learn/big-data-integration-processing -- https://www.coursera.org/learn/big-data-machine-learning -- https://www.coursera.org/learn/big-data-graph-analytics -- https://www.coursera.org/learn/big-data-project,4.38
Big Data for Data Engineers,5,"Big Data Essentials: HDFS, MapReduce and Spark RDD -- Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames -- Big Data Applications: Machine Learning at Scale -- Big Data Applications: Real-Time Streaming -- Big Data Services: Capstone Project",https://www.coursera.org/learn/big-data-essentials -- https://www.coursera.org/learn/big-data-analysis -- https://www.coursera.org/learn/machine-learning-applications-big-data -- https://www.coursera.org/learn/real-time-streaming-big-data -- https://www.coursera.org/learn/big-data-services,4.03
C# Programming for Unity Game Development,5,Introduction to C# Programming and Unity -- More C# Programming and Unity -- Intermediate Object-Oriented Programming for Unity Games -- Data Structures and Design Patterns for Game Developers -- C# Programming for Unity Game Development Capstone Project,https://www.coursera.org/learn/introduction-programming-unity -- https://www.coursera.org/learn/more-programming-unity -- https://www.coursera.org/learn/intermediate-object-oriented-programming-unity-games -- https://www.coursera.org/learn/data-structures-design-patterns -- https://www.coursera.org/learn/programming-unity-game-development-project,4.84
Cloud Computing,6,"Cloud Computing Concepts, Part 1 -- Cloud Computing Concepts: Part 2 -- Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure -- Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud -- Cloud Networking -- Cloud Computing Project",https://www.coursera.org/learn/cloud-computing -- https://www.coursera.org/learn/cloud-computing-2 -- https://www.coursera.org/learn/cloud-applications-part1 -- https://www.coursera.org/learn/cloud-applications-part2 -- https://www.coursera.org/learn/cloud-networking -- https://www.coursera.org/learn/cloud-computing-project,4.37
Data Analysis and Interpretation,5,Data Management and Visualization -- Data Analysis Tools -- Regression Modeling in Practice -- Machine Learning for Data Analysis -- Data Analysis and Interpretation Capstone,https://www.coursera.org/learn/data-visualization -- https://www.coursera.org/learn/data-analysis-tools -- https://www.coursera.org/learn/regression-modeling-practice -- https://www.coursera.org/learn/machine-learning-data-analysis -- https://www.coursera.org/learn/data-analysis-capstone,4.4
Data Analysis and Presentation Skills: the PwC Approach,5,Data-driven Decision Making -- Problem Solving with Excel -- Data Visualization with Advanced Excel -- Effective Business Presentations with Powerpoint -- Data Analysis and Presentation Skills: the PwC Approach Final Project,https://www.coursera.org/learn/decision-making -- https://www.coursera.org/learn/excel-analysis -- https://www.coursera.org/learn/advanced-excel -- https://www.coursera.org/learn/powerpoint-presentations -- https://www.coursera.org/learn/data-analysis-project-pwc,4.66
Data Engineering on Google Cloud Platform,5,Google Cloud Platform Big Data and Machine Learning Fundamentals -- Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform -- Serverless Data Analysis with Google BigQuery and Cloud Dataflow -- Serverless Machine Learning with Tensorflow on Google Cloud Platform -- Building Resilient Streaming Systems on Google Cloud Platform,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals -- https://www.coursera.org/learn/leveraging-unstructured-data-dataproc-gcp -- https://www.coursera.org/learn/serverless-data-analysis-bigquery-cloud-dataflow-gcp -- https://www.coursera.org/learn/serverless-machine-learning-gcp -- https://www.coursera.org/learn/building-resilient-streaming-systems-gcp,4.52
Data Mining,6,Data Visualization -- Text Retrieval and Search Engines -- Text Mining and Analytics -- Pattern Discovery in Data Mining -- Cluster Analysis in Data Mining -- Data Mining Project,https://www.coursera.org/learn/datavisualization -- https://www.coursera.org/learn/text-retrieval -- https://www.coursera.org/learn/text-mining -- https://www.coursera.org/learn/data-patterns -- https://www.coursera.org/learn/cluster-analysis -- https://www.coursera.org/learn/data-mining-project,4.4
Data Science at Scale,4,Data Manipulation at Scale: Systems and Algorithms -- Practical Predictive Analytics: Models and Methods -- Communicating Data Science Results -- Data Science at Scale - Capstone Project,https://www.coursera.org/learn/data-manipulation -- https://www.coursera.org/learn/predictive-analytics -- https://www.coursera.org/learn/data-results -- https://www.coursera.org/learn/datasci-capstone,4.02
Data Structures and Algorithms,6,Algorithmic Toolbox -- Data Structures -- Algorithms on Graphs -- Algorithms on Strings -- Advanced Algorithms and Complexity -- Genome Assembly Programming Challenge,https://www.coursera.org/learn/algorithmic-toolbox -- https://www.coursera.org/learn/data-structures -- https://www.coursera.org/learn/algorithms-on-graphs -- https://www.coursera.org/learn/algorithms-on-strings -- https://www.coursera.org/learn/advanced-algorithms-and-complexity -- https://www.coursera.org/learn/assembling-genomes,4.57
Data Systems,5,Core Database Concepts -- Distributed Database Systems -- NoSQL Database Systems -- Big Data Tools -- Data Management in the Cloud,https://www.coursera.org/learn/core-database -- https://www.coursera.org/learn/distributed-database -- https://www.coursera.org/learn/nosql-database-systems -- https://www.coursera.org/learn/big-data-tools -- https://www.coursera.org/learn/data-management-cloud,3.7
Data Visualization,4,Introduction to Data Exploration and Visualization -- Multivariate and Geographical Data Analysis -- Temporal and Hierarchical Data Analysis -- Additional Tools Used for Data Visualization,https://www.coursera.org/learn/intro-to-data-exploration -- https://www.coursera.org/learn/multivariate-geographical-analysis -- https://www.coursera.org/learn/temporal-and-hierarchical-analysis -- https://www.coursera.org/learn/data-visualization-tools,3.5
Data Warehousing for Business Intelligence,5,"Database Management Essentials -- Data Warehouse Concepts, Design, and Data Integration -- Relational Database Support for Data Warehouses -- Business Intelligence Concepts, Tools, and Applications -- Design and Build a Data Warehouse for Business Intelligence Implementation",https://www.coursera.org/learn/database-management -- https://www.coursera.org/learn/dwdesign -- https://www.coursera.org/learn/dwrelational -- https://www.coursera.org/learn/business-intelligence-tools -- https://www.coursera.org/learn/data-warehouse-bi-building,4.5
Developing APIs with Google Cloud's Apigee API Platform,3,API Design and Fundamentals of Google Cloud's Apigee API Platform -- API Development on Google Cloud's Apigee API Platform -- API Security on Google Cloud's Apigee API Platform,https://www.coursera.org/learn/api-design-apigee-gcp -- https://www.coursera.org/learn/api-development-apigee-gcp -- https://www.coursera.org/learn/api-security-apigee-gcp,4.63
Development of Secure Embedded Systems,4,Embedded Hardware and Operating Systems -- Web Connectivity and Security in Embedded Systems -- Development of Real-Time Systems -- Capstone:  Autonomous Runway Detection for IoT,https://www.coursera.org/learn/embedded-operating-system -- https://www.coursera.org/learn/iot-connectivity-security -- https://www.coursera.org/learn/real-time-systems -- https://www.coursera.org/learn/autonomous-runway-detection,4.42
Digital Transformation in Financial Services,4,Digital Competition in Financial Services -- FinTech and the Transformation in Financial Services -- Innovation Strategy: Developing Your Fintech strategy -- Digital Transformation of Financial Services - Capstone Project,https://www.coursera.org/learn/digital-competition-financial-services -- https://www.coursera.org/learn/fintech-transformation-financial-services -- https://www.coursera.org/learn/innovation-strategy-fintech -- https://www.coursera.org/learn/digital-transformation-financial-services-project,4.42
Emerging Technologies: From Smartphones to IoT to Big Data,10,"Big Data Emerging Technologies -- Smart Device & Mobile Emerging Technologies -- IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies -- AR (Augmented Reality) & Video Streaming Services Emerging Technologies -- Smartphone Emerging Technologies -- Big Data, Cloud Computing, & CDN Emerging Technologies -- Internet Emerging Technologies -- Internet of Things & Augmented Reality Emerging Technologies -- Wireless Communication Emerging Technologies -- Emerging Technologies Capstone",https://www.coursera.org/learn/big-data-emerging-technologies -- https://www.coursera.org/learn/smart-device-mobile-emerging-technologies -- https://www.coursera.org/learn/iot-wireless-cloud-computing -- https://www.coursera.org/learn/ar-technologies-video-streaming -- https://www.coursera.org/learn/smartphone-emerging-technologies -- https://www.coursera.org/learn/big-data-cloud-computing-cdn -- https://www.coursera.org/learn/internet-technologies -- https://www.coursera.org/learn/iot-augmented-reality-technologies -- https://www.coursera.org/learn/wireless-communication-technologies -- https://www.coursera.org/learn/emerging-technologies-capstone,4.2
From Data to Insights with Google Cloud Platform,4,Exploring ​and ​Preparing ​your ​Data with BigQuery -- Creating New BigQuery Datasets and Visualizing Insights -- Achieving Advanced Insights with BigQuery -- Applying Machine Learning to your Data with GCP,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery -- https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights -- https://www.coursera.org/learn/gcp-advanced-insights-bigquery -- https://www.coursera.org/learn/data-insights-gcp-apply-ml,4.62
Full-Stack Web Development with React,4,"Front-End Web UI Frameworks and Tools: Bootstrap 4 -- Front-End Web Development with React -- Multiplatform Mobile App Development with React Native -- Server-side Development with NodeJS, Express and MongoDB",https://www.coursera.org/learn/bootstrap-4 -- https://www.coursera.org/learn/front-end-react -- https://www.coursera.org/learn/react-native -- https://www.coursera.org/learn/server-side-nodejs,4.88
Fundraising and Development,4,Fundraising and Development Foundations -- Annual Campaigns: Building a Case for Support -- Major and Principal Gifts -- Planned Giving,https://www.coursera.org/learn/fundraising-development -- https://www.coursera.org/learn/annual-campaigns -- https://www.coursera.org/learn/major-principal-gifts -- https://www.coursera.org/learn/planned-giving,3.4
Game Design and Development,5,Introduction to Game Development -- Principles of Game Design -- Business of Games and Entrepreneurship -- Game Development for Modern Platforms -- Game Design and Development Capstone,https://www.coursera.org/learn/game-development -- https://www.coursera.org/learn/gamedesign -- https://www.coursera.org/learn/gamedev-business -- https://www.coursera.org/learn/gamedev-platforms -- https://www.coursera.org/learn/gamedev-capstone,4.62
Genomic Data Science,8,Introduction to Genomic Technologies -- Genomic Data Science with Galaxy -- Python for Genomic Data Science -- Algorithms for DNA Sequencing -- Command Line Tools for Genomic Data Science -- Bioconductor for Genomic Data Science -- Statistics for Genomic Data Science -- Genomic Data Science Capstone,https://www.coursera.org/learn/introduction-genomics -- https://www.coursera.org/learn/galaxy-project -- https://www.coursera.org/learn/python-genomics -- https://www.coursera.org/learn/dna-sequencing -- https://www.coursera.org/learn/genomic-tools -- https://www.coursera.org/learn/bioconductor -- https://www.coursera.org/learn/statistical-genomics -- https://www.coursera.org/learn/genomic-data-science-project,4.26
IBM Data Science Professional Certificate,9,What is Data Science? -- Open Source tools for Data Science -- Data Science Methodology -- Python for Data Science -- Databases and SQL for Data Science -- Data Visualization with Python -- Data Analysis with Python -- Machine Learning with Python -- Applied Data Science Capstone,https://www.coursera.org/learn/what-is-datascience -- https://www.coursera.org/learn/open-source-tools-for-data-science -- https://www.coursera.org/learn/data-science-methodology -- https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/sql-data-science -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/data-analysis-with-python -- https://www.coursera.org/learn/machine-learning-with-python -- https://www.coursera.org/learn/applied-data-science-capstone,4.49
Install and Manage Google Cloud's Apigee API Platform,3,"On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform -- On Premises Management, Security, and Upgrade with Google Cloud's Apigee API Platform -- On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform",https://www.coursera.org/learn/onprem-fundamentals-apigee-gcp -- https://www.coursera.org/learn/onprem-mgmt-security-apigee-gcp -- https://www.coursera.org/learn/onprem-upgrade-apigee-gcp,4.57
Introduction to Data Science,4,What is Data Science? -- Open Source tools for Data Science -- Data Science Methodology -- Databases and SQL for Data Science,https://www.coursera.org/learn/what-is-datascience -- https://www.coursera.org/learn/open-source-tools-for-data-science -- https://www.coursera.org/learn/data-science-methodology -- https://www.coursera.org/learn/sql-data-science,4.4
iOS App Development with Swift,4,Introduction To Swift Programming -- iOS App Development Basics -- App Design and Development for iOS -- Build Your Own iOS App,https://www.coursera.org/learn/swift-programming -- https://www.coursera.org/learn/ios-app-development-basics -- https://www.coursera.org/learn/ios-app-design-development -- https://www.coursera.org/learn/build-app,3.77
iOS Development for Creative Entrepreneurs,6,"Foundations of Objective-C App Development -- Networking and Security in iOS Applications -- Best Practices for iOS User Interface Design -- Games, Sensors and Media -- Toward the Future of iOS Development with Swift -- iOS Project: Transreality Game",https://www.coursera.org/learn/objective-c -- https://www.coursera.org/learn/security -- https://www.coursera.org/learn/ui -- https://www.coursera.org/learn/games -- https://www.coursera.org/learn/iosswift -- https://www.coursera.org/learn/transreality-gaming,4.53
Java Programming and Software Engineering Fundamentals,5,"Programming Foundations with JavaScript, HTML and CSS -- Java Programming: Solving Problems with Software -- Java Programming: Arrays, Lists, and Structured Data -- Java Programming: Principles of Software Design -- Java Programming: Build a Recommendation System",https://www.coursera.org/learn/duke-programming-web -- https://www.coursera.org/learn/java-programming -- https://www.coursera.org/learn/java-programming-arrays-lists-data -- https://www.coursera.org/learn/java-programming-design-principles -- https://www.coursera.org/learn/java-programming-recommender,4.6
Leadership Development for Engineers,3,Self Awareness and the Effective Leader -- Relationship Management -- Personal Leadership Development Planning and Leading High Performing Teams,https://www.coursera.org/learn/self-awareness -- https://www.coursera.org/learn/relationship-management -- https://www.coursera.org/learn/leadership-development-planning,4.57
Machine Learning with TensorFlow on Google Cloud Platform,5,How Google does Machine Learning -- Launching into Machine Learning -- Intro to TensorFlow -- Feature Engineering -- Art and Science of Machine Learning,https://www.coursera.org/learn/google-machine-learning -- https://www.coursera.org/learn/launching-machine-learning -- https://www.coursera.org/learn/intro-tensorflow -- https://www.coursera.org/learn/feature-engineering -- https://www.coursera.org/learn/art-science-ml,4.46
Mastering Software Development in R,5,The R Programming Environment -- Advanced R Programming -- Building R Packages -- Building Data Visualization Tools -- Mastering Software Development in R Capstone,https://www.coursera.org/learn/r-programming-environment -- https://www.coursera.org/learn/advanced-r -- https://www.coursera.org/learn/r-packages -- https://www.coursera.org/learn/r-data-visualization -- https://www.coursera.org/learn/r-capstone,4.2
Object Oriented Java Programming: Data Structures and Beyond,5,Object Oriented Programming in Java -- Data Structures and Performance -- Advanced Data Structures in Java -- Mastering the Software Engineering Interview -- Capstone: Analyzing (Social) Network Data,https://www.coursera.org/learn/object-oriented-java -- https://www.coursera.org/learn/data-structures-optimizing-performance -- https://www.coursera.org/learn/advanced-data-structures -- https://www.coursera.org/learn/cs-tech-interview -- https://www.coursera.org/learn/intermediate-programming-capstone,4.7
Requirements Engineering: Secure Software  Specifications,5,Requirements Gathering for Secure Software Development -- Requirements Elicitation: Artifact and Stakeholder Analysis -- Requirements Specifications: Goals and Conflict Analysis -- Software Requirements Prioritization: Risk Analysis -- SRS Documents: Requirements and Diagrammatic Notations,https://www.coursera.org/learn/requirements-gathering-secure -- https://www.coursera.org/learn/requirements-elicitation -- https://www.coursera.org/learn/requirements-specification-goals -- https://www.coursera.org/learn/software-requirements-prioritization -- https://www.coursera.org/learn/srs-documents-requirements,4.3
Responsive Website Development and Design,6,"Responsive Website Basics: Code with HTML, CSS, and JavaScript -- Responsive Web Design -- Introduction to Meteor.js Development -- Web Application Development with JavaScript and MongoDB -- Responsive Website Tutorial and Examples -- Responsive Website Development and Design Capstone",https://www.coursera.org/learn/website-coding -- https://www.coursera.org/learn/responsive-web-design -- https://www.coursera.org/learn/meteor-development -- https://www.coursera.org/learn/web-application-development -- https://www.coursera.org/learn/responsive-website-examples -- https://www.coursera.org/learn/responsive-web-design-capstone,4.55
Ruby on Rails Web Development,6,"Ruby on Rails: An Introduction -- Rails with Active Record and Action Pack -- Ruby on Rails Web Services and Integration with MongoDB -- HTML, CSS, and Javascript for Web Developers -- Single Page Web Applications with AngularJS -- Capstone: Photo Tourist Web Application",https://www.coursera.org/learn/ruby-on-rails-intro -- https://www.coursera.org/learn/rails-with-active-record -- https://www.coursera.org/learn/ruby-on-rails-web-services-mongodb -- https://www.coursera.org/learn/html-css-javascript-for-web-developers -- https://www.coursera.org/learn/single-page-web-apps-with-angularjs -- https://www.coursera.org/learn/photo-tourist-web-app-capstone,4.67
Secure Software Design,4,Software Design as an Element of the Software Development Lifecycle -- Software Design as an Abstraction -- Software Design Methods and Tools -- Software Design Threats and Mitigations,https://www.coursera.org/learn/software-design-development-life-cycle -- https://www.coursera.org/learn/software-design-abstraction -- https://www.coursera.org/learn/software-design-methods-tools -- https://www.coursera.org/learn/software-design-threats-mitigations,4.77
Software Design and Architecture,4,Object-Oriented Design -- Design Patterns -- Software Architecture -- Service-Oriented Architecture,https://www.coursera.org/learn/object-oriented-design -- https://www.coursera.org/learn/design-patterns -- https://www.coursera.org/learn/software-architecture -- https://www.coursera.org/learn/service-oriented-architecture,4.53
Software Development Lifecycle,4,Software Development Processes and Methodologies -- Agile Software Development -- Lean Software Development -- Engineering Practices for Building Quality Software,https://www.coursera.org/learn/software-processes -- https://www.coursera.org/learn/agile-software-development -- https://www.coursera.org/learn/lean-software-development -- https://www.coursera.org/learn/engineering-practices-secure-software-quality,4.33
Survey Data Collection and Analytics,7,"Framework for Data Collection and Analysis -- Data Collection: Online, Telephone and Face-to-face -- Questionnaire Design for Social Surveys -- Sampling People, Networks and Records -- Dealing With Missing Data -- Combining and Analyzing Complex Data -- Survey Data Collection and Analytics Project (Capstone)",https://www.coursera.org/learn/data-collection-framework -- https://www.coursera.org/learn/data-collection-methods -- https://www.coursera.org/learn/questionnaire-design -- https://www.coursera.org/learn/sampling-methods -- https://www.coursera.org/learn/missing-data -- https://www.coursera.org/learn/data-collection-analytics-project -- https://www.coursera.org/learn/survey-data-capstone,3.96
